date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:19:21	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Apr%202020%2020:19:18%20GMT	http://sulimail.glitch.me/robots.txt		(from )
23:19:21	9428/9428	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Apr%202020%2020:19:17%20GMT	http://sulimail.glitch.me/	C:/Users/mahfo/OneDrive/Desktop/dddd/s/sulimail.glitch.me/index.html	(from )
23:19:21	12844/12844	---M--	200	added ('OK')	text/css	date:Thu,%2016%20Aug%202018%2020:58:56%20GMT	http://sulimail.glitch.me/css/styles.css	C:/Users/mahfo/OneDrive/Desktop/dddd/s/sulimail.glitch.me/css/styles.css	(from http://sulimail.glitch.me/)
23:19:22	2598/2598	---M--	200	added ('OK')	text/css	date:Mon,%2006%20Aug%202018%2003:15:14%20GMT	http://sulimail.glitch.me/core/JqueryScrollbar/jquery.custom-scrollbar.css	C:/Users/mahfo/OneDrive/Desktop/dddd/s/sulimail.glitch.me/core/JqueryScrollbar/jquery.custom-scrollbar.css	(from http://sulimail.glitch.me/)
23:19:23	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/mahfo/OneDrive/Desktop/dddd/s/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from http://sulimail.glitch.me/)
23:19:25	86927/86927	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/Users/mahfo/OneDrive/Desktop/dddd/s/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from http://sulimail.glitch.me/)
23:19:26	140421/140421	---M-Z	200	added ('OK')	text/css	etag:%221544639650%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.1.0/css/bootstrap.min.css	C:/Users/mahfo/OneDrive/Desktop/dddd/s/maxcdn.bootstrapcdn.com/bootstrap/4.1.0/css/bootstrap.min.css	(from http://sulimail.glitch.me/)
23:19:26	20495/20495	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4a7a-500f%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.0/umd/popper.min.js	C:/Users/mahfo/OneDrive/Desktop/dddd/s/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.0/umd/popper.min.js	(from http://sulimail.glitch.me/)
23:19:28	3077/3077	---M--	200	added ('OK')	application/javascript	date:Mon,%2013%20Aug%202018%2008:14:44%20GMT	http://sulimail.glitch.me/core/hasher.min.js	C:/Users/mahfo/OneDrive/Desktop/dddd/s/sulimail.glitch.me/core/hasher.min.js	(from http://sulimail.glitch.me/)
23:19:28	50676/50676	---M-Z	200	added ('OK')	text/javascript	etag:%221544639633%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.1.0/js/bootstrap.min.js	C:/Users/mahfo/OneDrive/Desktop/dddd/s/maxcdn.bootstrapcdn.com/bootstrap/4.1.0/js/bootstrap.min.js	(from http://sulimail.glitch.me/)
23:19:28	13417/13417	---M--	200	added ('OK')	application/javascript	date:Mon,%2013%20Aug%202018%2008:14:48%20GMT	http://sulimail.glitch.me/core/signals.js	C:/Users/mahfo/OneDrive/Desktop/dddd/s/sulimail.glitch.me/core/signals.js	(from http://sulimail.glitch.me/)
23:19:29	18291/18291	---M--	200	added ('OK')	application/javascript	date:Mon,%2006%20Aug%202018%2003:14:14%20GMT	http://sulimail.glitch.me/core/JqueryScrollbar/jquery.custom-scrollbar.min.js	C:/Users/mahfo/OneDrive/Desktop/dddd/s/sulimail.glitch.me/core/JqueryScrollbar/jquery.custom-scrollbar.min.js	(from http://sulimail.glitch.me/)
23:19:30	9617/9617	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Aug%202018%2013:24:38%20GMT	http://sulimail.glitch.me/images/logo.png	C:/Users/mahfo/OneDrive/Desktop/dddd/s/sulimail.glitch.me/images/logo.png	(from http://sulimail.glitch.me/)
23:19:30	11119/11119	---M--	200	added ('OK')	application/javascript	date:Thu,%2016%20Aug%202018%2021:06:10%20GMT	http://sulimail.glitch.me/js/scripts.js	C:/Users/mahfo/OneDrive/Desktop/dddd/s/sulimail.glitch.me/js/scripts.js	(from http://sulimail.glitch.me/)
